p_id,name,position
RobiMi20,Mike Robinson,DE
GrayEa00,Earnest Gray,WR
FoutDa00,Dan Fouts,QB
PillLa20,Lawrence Pillers,DE-DT-NT
CampRi00,Rich Campbell,QB
WilsWa00,Wade Wilson,QB
SingMi00,Mike Singletary,LB
RathBo00,Bo Rather,WR
FoleSt20,Steve Foley,DB
HeatJo20,Jo Heath,DB
ricarben01,Benny Ricardo,K
MoorEm00,Emery Moorehead,TE-WR
LafaDa20,Dave Lafary,T-G
deBrCa20,Case deBruijn,P
SmitJi01,Jim Smith,WR
HayeJe20,Jeff Hayes,P
JackBe20,Bernard Jackson,DB
McDaJo00,John McDaniel,WR
MarsHe00,Henry Marshall,WR
HutcAn20,Anthony Hutchison,RB
JohnCh21,Charles Johnson,NT-DT
ThomJa01,James Thompson,WR
BlacLy20,Lyle Blackwood,DB
ThomDo25,Donnell Thompson,DE
WillDo01,Doug Williams,QB
BuntJo20,John Bunting,LB
WillRi21,Richard Williams,RB
MoriLa00,Larry Moriarty,RB
HerrMa00,Mark Herrmann,QB
NaumPa00,Paul Naumoff,LB
SohnKu00,Kurt Sohn,WR
WillMi02,Mike Williams,TE-FB
PerrLo00,Lonnie Perrin,RB
RayxRi20,Ricky Ray,DB
HillDa01,David Hill,TE
BarnDo20,Doug Barnett,DE
