abbr,wy,qb,qb_not_full_game,rb1,rb2,wr1,wr2,wr3
WAS,8 | 1978,TheiJo00,0,RiggJo00,HarmCl00,BuggDa00,McDaJo00,MurpMa20
NYJ,8 | 1978,RobiMa01,0,LongKe00,DierSc00,GaffDe00,WalkWe00,BarkJe00
CRD,8 | 1978,PisaSt00,0,OtisJi00,MorrWa00,TillPa00,GrayMe01,ChilJi20
TAM,8 | 1978,WillDo01,0,BellRi01,DaviJo01,OwenMo00,ObraJi00,MuckLa00
CHI,8 | 1978,AvelBo00,0,PaytWa00,HarpRo00,ScotJa00,SchuSt00,RichGo00
DAL,8 | 1978,StauRo00,0,DorsTo00,NewhRo00,PearPr00,DuprBi00,HillTo00
PHI,8 | 1978,JawoRo00,0,MontWi00,HogaMi00,KrepKe00,CarmHa00,PaynKe00
DET,8 | 1978,DaniGa00,0,BussDe00,KingHo00,ScotFr01,HillDa01,ThomJe02
SDG,8 | 1978,HarrJa01,1,MitcLy00,WoodDo00,JoinCh00,KleiBo00,None
KAN,8 | 1978,LiviMi00,0,ReedTo00,MorgAr00,MarsHe00,WhitWa00,None
CLE,8 | 1978,SipeBr00,1,PruiGr00,PruiMi00,NewsOz00,FeacRi00,WrigKe00
MIN,8 | 1978,TarkFr00,0,ForeCh00,YounRi00,WhitSa00,RashAh00,TuckBo00
GNB,8 | 1978,WhitDa02,0,MiddTe00,SmitBa00,McGeRi00,LoftJa00,OdomSt00
CLT,8 | 1978,TrouBi00,0,WashJo00,LeakRo00,McCaDo00,DougGl00,CarrRo00
DEN,8 | 1978,MortCr00,0,KeywJo00,PerrLo00,UpchRi00,MoseHa00,OdomRi00
NWE,8 | 1978,GrogSt00,0,CunnSa00,JohnAn01,JackHa00,HassDo00,FranRu00
MIA,8 | 1978,GrieBo00,0,WillDe01,HarrLe01,TillAn00,HarrDu00,MoorNa00
RAM,8 | 1978,HadePa00,0,BryaCu00,CappJo00,WaddBi00,JessRo00,ScalDw00
NOR,8 | 1978,MannAr00,0,GalbTo00,MuncCh00,ChilHe00,HarrIk00,OwenTi00
SEA,8 | 1978,ZornJi00,1,SimsDa00,SmitSh00,LargSt00,HowaRo00,RaibSt00
RAI,8 | 1978,StabKe00,0,VanEMa00,WhitAr00,BranCl00,BradMo00,BileFr00
SFO,8 | 1978,DebeSt00,0,SimpO.00,FerrBo00,SoloFr01,BoydEl00,MacAKe21
ATL,8 | 1978,BartSt00,0,BeanBu00,StanHa00,JackAl00,RyckBi00,MitcJi00
PIT,8 | 1978,BradTe00,0,HarrFr00,BleiRo00,GrosRa00,StalJo00,SwanLy00
OTI,8 | 1978,PastDa00,0,CampEa00,WilsTi00,CastRi00,BarbMi01,RenfMi00
DAL,9 | 1978,StauRo00,0,DorsTo00,NewhRo00,PearPr00,DuprBi00,PearDr00
MIN,9 | 1978,TarkFr00,0,ForeCh00,YounRi00,WhitSa00,RashAh00,TuckBo00
CIN,9 | 1978,AndeKe00,0,JohnPe00,TurnDe00,CurtIs00,BrooBi01,BassDo00
OTI,9 | 1978,PastDa00,0,CampEa00,WilsTi00,CastRi00,RenfMi00,BarbMi01
CLE,9 | 1978,SipeBr00,0,PruiGr00,PruiMi00,NewsOz00,RuckRe00,LogaDa00
BUF,9 | 1978,FergJo00,1,MillTe00,BrowCu00,ChanBo00,GantRe00,PiccLo00
NWE,9 | 1978,GrogSt00,0,CunnSa00,JohnAn01,JackHa00,MorgSt00,FranRu00
NYJ,9 | 1978,RobiMa01,1,LongKe00,DierSc00,BarkJe00,ShulMi00,JoneBo00
PHI,9 | 1978,JawoRo00,0,MontWi00,CampBi00,CarmHa00,PaynKe00,KrepKe00
CRD,9 | 1978,HartJi00,0,OtisJi00,MorrWa00,GrayMe01,TillPa00,StieDa00
PIT,9 | 1978,BradTe00,0,HarrFr00,BleiRo00,SwanLy00,StalJo00,GrosRa00
KAN,9 | 1978,LiviMi00,0,ReedTo00,MorgAr00,MarsHe00,WhitWa00,DorsLa00
WAS,9 | 1978,KilmBi00,0,RiggJo00,HarmCl00,BuggDa00,HaynRe00,ThomRi00
SFO,9 | 1978,DebeSt00,0,SimpO.00,FerrBo00,SealPa00,SoloFr01,BoydEl00
CHI,9 | 1978,AvelBo00,0,PaytWa00,HarpRo00,RichGo00,LattGr00,CobbMi00
DET,9 | 1978,DaniGa00,0,BussDe00,KingHo00,ThomJe02,BlueLu00,ScotFr01
GNB,9 | 1978,WhitDa02,0,MiddTe00,SmitBa00,LoftJa00,ThomAu00,OdomSt00
TAM,9 | 1978,WillDo01,0,BellRi01,DaviJo01,OwenMo00,ObraJi00,GranFr00
NOR,9 | 1978,MannAr00,0,GalbTo00,MuncCh00,ChanWe00,ChilHe00,HarrIk00
NYG,9 | 1978,PisaJo00,1,KotaDo00,HammBo00,RobiJi00,DixoAl00,ThomJa01
MIA,9 | 1978,GrieBo00,0,WillDe01,HarrLe01,HarrDu00,MoorNa00,DenHVe20
CLT,9 | 1978,KirkMi00,0,WashJo00,LeakRo00,McCaDo00,DougGl00,CarrRo00
RAI,9 | 1978,StabKe00,0,VanEMa00,WhitAr00,CaspDa00,BradMo00,BranCl00
SDG,9 | 1978,FoutDa00,0,MitcLy00,WoodDo00,McCrGr00,McDoDw00,KleiBo00
SEA,9 | 1978,ZornJi00,1,SmitSh00,HuntAl00,RaibSt00,McCuSa00,FergDu00
DEN,9 | 1978,MortCr00,0,KeywJo00,PerrLo00,MoseHa00,UpchRi00,OdomRi00
ATL,9 | 1978,JoneJu00,1,BeanBu00,StanHa00,JackAl00,MitcJi00,FranWa00
RAM,9 | 1978,HadePa00,0,BryaCu00,CappJo00,WaddBi00,MillWi00,JessRo00
ATL,10 | 1978,BartSt00,0,BeanBu00,StanHa00,FranWa00,RyckBi00,MitcJi00
SFO,10 | 1978,DebeSt00,0,SimpO.00,FerrBo00,SoloFr01,HarrKe00,SealPa00
BUF,10 | 1978,FergJo00,0,MillTe00,BrowCu00,ChanBo00,LewiFr00,GantRe00
NWE,10 | 1978,GrogSt00,0,CunnSa00,JohnAn01,FranRu00,MorgSt00,None
CHI,10 | 1978,PhipMi00,1,PaytWa00,HarpRo00,EarlRo00,ScotJa00,LattGr00
SEA,10 | 1978,ZornJi00,0,SmitSh00,HuntAl00,LargSt00,McCuSa00,WebsCo21
CRD,10 | 1978,HartJi00,0,OtisJi00,MorrWa00,TillPa00,GrayMe01,RamsEa00
NYG,10 | 1978,PisaJo00,0,KotaDo00,HammBo00,DixoAl00,RobiJi00,MoorEm00
