key,opp_abbr,wy,p_id,careerAvg_completed_passes,careerAvg_attempted_passes,careerAvg_passing_yards,careerAvg_passing_touchdowns,careerAvg_interceptions_thrown,careerAvg_times_sacked,careerAvg_yards_lost_from_sacks,careerAvg_longest_pass,careerAvg_quarterback_rating,careerAvg_rush_attempts,careerAvg_rush_yards,careerAvg_rush_touchdowns,careerAvg_longest_rush,careerAvg_isHome,careerAvg_completion_percentage,careerAvg_td_percentage,careerAvg_interception_percentage,careerAvg_yards_per_attempt,careerAvg_adjusted_yards_per_attempt,careerAvg_yards_per_completion,careerAvg_sack_percentage,careerAvg_net_gained_per_pass_attempt,careerAvg_adjusted_net_yards_per_pass_attempt,careerAvg_rush_yards_per_attempt
RAM-198009210ram,GNB,3 | 1980,FerrVi00,5.905,11.857,87.81,0.381,1.0,1.0,9.667,26.381,53.467,0.381,0.619,0.0,0.714,0.524,44.389,2.621,7.836,6.376,3.375,12.753,6.936,5.211,2.482,0.714
GNB-198009210ram,RAM,3 | 1980,DickLy00,12.286,24.429,157.0,0.714,0.857,3.0,24.571,29.286,68.114,0.857,1.857,0.0,1.857,0.571,52.623,2.289,2.764,6.26,5.474,12.263,12.684,4.451,3.76,1.096
SEA-198009210sea,NWE,3 | 1980,ZornJi00,16.706,29.647,216.853,1.118,1.206,2.118,15.441,36.706,77.497,3.235,16.618,0.235,10.412,0.5,56.417,4.017,3.867,7.477,6.539,13.177,7.035,6.472,5.589,4.329
NWE-198009210sea,SEA,3 | 1980,GrogSt00,12.114,24.4,188.4,1.371,1.343,2.0,15.857,40.943,68.323,4.4,27.8,0.2,14.857,0.543,49.277,5.439,5.837,7.678,6.139,15.49,7.468,6.546,5.152,6.509
PHI-198009220phi,NYG,3 | 1980,JawoRo00,12.973,24.946,169.297,1.216,0.811,2.243,17.135,38.865,77.8,2.162,6.027,0.054,5.676,0.486,52.86,5.125,3.354,6.99,6.506,13.421,8.069,5.819,5.387,2.801
NYG-198009220phi,PHI,3 | 1980,SimmPh00,11.571,23.214,156.929,1.429,1.286,3.071,24.0,37.071,68.929,2.5,12.357,0.071,9.357,0.5,50.218,5.731,6.466,6.662,4.899,13.311,12.09,4.916,3.434,5.05
BUF-198009280buf,RAI,4 | 1980,FergJo00,13.514,25.143,183.086,0.971,1.057,2.086,18.4,39.114,72.723,1.686,4.8,0.029,3.343,0.514,53.334,4.062,4.33,7.185,6.049,13.267,7.933,5.909,4.862,1.551
RAI-198009280buf,BUF,4 | 1980,PastDa00,12.41,23.359,160.205,1.0,1.256,1.538,12.077,37.846,71.692,1.026,1.256,0.0,1.359,0.436,54.077,4.507,5.374,7.145,5.628,12.947,6.486,6.214,4.836,0.654
CIN-198009280cin,OTI,4 | 1980,ThomJa00,6.273,13.636,71.455,0.455,0.636,1.818,19.636,22.273,55.573,2.0,10.545,0.455,4.364,0.636,44.899,2.3,7.05,4.98,2.266,10.004,10.425,3.284,0.79,2.364
OTI-198009280cin,CIN,4 | 1980,StabKe00,17.314,28.457,204.6,1.229,1.686,2.229,19.971,30.343,78.68,0.657,-0.229,0.0,0.057,0.486,61.048,4.661,5.892,7.327,5.609,12.133,7.61,6.076,4.501,-0.2
DET-198009280det,MIN,4 | 1980,DaniGa00,13.647,24.176,168.824,1.176,1.0,1.824,16.882,33.059,76.118,1.588,7.294,0.0,6.294,0.471,53.833,4.389,3.691,6.916,6.134,12.849,6.799,5.819,5.124,4.471
MIN-198009280det,DET,4 | 1980,KramTo00,17.0,30.909,189.591,1.273,1.273,2.136,14.864,32.182,66.345,1.591,7.045,0.045,4.636,0.591,52.123,3.686,4.448,5.974,4.71,11.45,7.473,4.878,3.714,2.795
